run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale
level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed28/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_10p0,True,10.0,0.0,28,level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed28.csv,True,True,True,0.05
feaco_baseline__rot_only_1p0__xyz0__ryp1__seed28,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_1p0__xyz0__ryp1__seed28,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_1p0__xyz0__ryp1__seed28/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_1p0,True,0.0,1.0,28,feaco_baseline__rot_only_1p0__xyz0__ryp1__seed28.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__rot_only_1p0__xyz0__ryp1__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_1p0__xyz0__ryp1__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_1p0__xyz0__ryp1__seed28/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,rot_only_1p0,True,0.0,1.0,28,level2_status_skip_vertical_blur_bss0p05__rot_only_1p0__xyz0__ryp1__seed28.csv,True,True,True,0.05
feaco_baseline__rot_only_2p0__xyz0__ryp2__seed28,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_2p0__xyz0__ryp2__seed28,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_2p0__xyz0__ryp2__seed28/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_2p0,True,0.0,2.0,28,feaco_baseline__rot_only_2p0__xyz0__ryp2__seed28.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__rot_only_2p0__xyz0__ryp2__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_2p0__xyz0__ryp2__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_2p0__xyz0__ryp2__seed28/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,rot_only_2p0,True,0.0,2.0,28,level2_status_skip_vertical_blur_bss0p05__rot_only_2p0__xyz0__ryp2__seed28.csv,True,True,True,0.05
feaco_baseline__rot_only_4p0__xyz0__ryp4__seed28,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_4p0__xyz0__ryp4__seed28,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_4p0__xyz0__ryp4__seed28/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_4p0,True,0.0,4.0,28,feaco_baseline__rot_only_4p0__xyz0__ryp4__seed28.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__rot_only_4p0__xyz0__ryp4__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_4p0__xyz0__ryp4__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_4p0__xyz0__ryp4__seed28/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,rot_only_4p0,True,0.0,4.0,28,level2_status_skip_vertical_blur_bss0p05__rot_only_4p0__xyz0__ryp4__seed28.csv,True,True,True,0.05
feaco_baseline__clean__xyz0__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__clean__xyz0__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__clean__xyz0__ryp0__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,clean,False,0.0,0.0,42,feaco_baseline__clean__xyz0__ryp0__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,clean,False,0.0,0.0,42,level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed42.csv,True,True,True,0.05
feaco_baseline__low_combined__xyz0p2__ryp1__seed42,opencood/pretrained/feaco/generated_feaco_baseline__low_combined__xyz0p2__ryp1__seed42,opencood/pretrained/feaco/generated_feaco_baseline__low_combined__xyz0p2__ryp1__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,low_combined,True,0.2,1.0,42,feaco_baseline__low_combined__xyz0p2__ryp1__seed42.csv,False,False,True,0.05
