run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale,enable_tail_mc_warp,mc_trace_threshold,mc_num_samples,mc_random_seed,mc_use_translation_only,mc_theta_clip,mc_translation_clip
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p2_rot_4p0,True,0.2,4.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_4p0,True,0.2,4.0,20,mc_status_skip_full_k3__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p2_rot_6p0,True,0.2,6.0,20,feaco_baseline__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p2_rot_6p0,True,0.2,6.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_6p0,True,0.2,6.0,20,mc_status_skip_full_k3__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p2_rot_8p0,True,0.2,8.0,20,feaco_baseline__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p2_rot_8p0,True,0.2,8.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_8p0,True,0.2,8.0,20,mc_status_skip_full_k3__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p2_rot_10p0,True,0.2,10.0,20,feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p2_rot_10p0,True,0.2,10.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_10p0,True,0.2,10.0,20,mc_status_skip_full_k3__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p2_rot_14p0,True,0.2,14.0,20,feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p2_rot_14p0,True,0.2,14.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_14p0,True,0.2,14.0,20,mc_status_skip_full_k3__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p2_rot_18p0,True,0.2,18.0,20,feaco_baseline__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p2_rot_18p0,True,0.2,18.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_18p0,True,0.2,18.0,20,mc_status_skip_full_k3__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p5_rot_1p0,True,0.5,1.0,20,feaco_baseline__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p5_rot_1p0,True,0.5,1.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p5_rot_1p0,True,0.5,1.0,20,mc_status_skip_full_k3__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p5_rot_2p0,True,0.5,2.0,20,feaco_baseline__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p5_rot_2p0,True,0.5,2.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p5_rot_2p0,True,0.5,2.0,20,mc_status_skip_full_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p5_rot_4p0,True,0.5,4.0,20,feaco_baseline__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p5_rot_4p0,True,0.5,4.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p5_rot_4p0,True,0.5,4.0,20,mc_status_skip_full_k3__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p5_rot_6p0,True,0.5,6.0,20,feaco_baseline__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p5_rot_6p0,True,0.5,6.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p5_rot_6p0,True,0.5,6.0,20,mc_status_skip_full_k3__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p5_rot_8p0,True,0.5,8.0,20,feaco_baseline__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p5_rot_8p0,True,0.5,8.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p5_rot_8p0,True,0.5,8.0,20,mc_status_skip_full_k3__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p5_rot_10p0,True,0.5,10.0,20,feaco_baseline__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p5_rot_10p0,True,0.5,10.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p5_rot_10p0,True,0.5,10.0,20,mc_status_skip_full_k3__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
