run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale,enable_tail_mc_warp,mc_trace_threshold,mc_num_samples,mc_random_seed,mc_use_translation_only,mc_theta_clip,mc_translation_clip
mc_status_skip_transonly_k3__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__clean__xyz0__ryp0__seed20/config.yaml,mc_status_skip_transonly_k3,point_pillar_where2comm_our,clean,False,0.0,0.0,20,mc_status_skip_transonly_k3__clean__xyz0__ryp0__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__clean__xyz0__ryp0__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,clean,False,0.0,0.0,20,mc_status_skip_full_k3__clean__xyz0__ryp0__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
mc_status_skip_transonly_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20/config.yaml,mc_status_skip_transonly_k3,point_pillar_where2comm_our,pos_0p2_rot_1p0,True,0.2,1.0,20,mc_status_skip_transonly_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_1p0,True,0.2,1.0,20,mc_status_skip_full_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
mc_status_skip_transonly_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20/config.yaml,mc_status_skip_transonly_k3,point_pillar_where2comm_our,pos_0p5_rot_2p0,True,0.5,2.0,20,mc_status_skip_transonly_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p5_rot_2p0,True,0.5,2.0,20,mc_status_skip_full_k3__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
mc_status_skip_transonly_k3__pos_1p0_rot_4p0__xyz1__ryp4__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__pos_1p0_rot_4p0__xyz1__ryp4__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__pos_1p0_rot_4p0__xyz1__ryp4__seed20/config.yaml,mc_status_skip_transonly_k3,point_pillar_where2comm_our,pos_1p0_rot_4p0,True,1.0,4.0,20,mc_status_skip_transonly_k3__pos_1p0_rot_4p0__xyz1__ryp4__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_1p0_rot_4p0__xyz1__ryp4__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_1p0_rot_4p0__xyz1__ryp4__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_1p0_rot_4p0__xyz1__ryp4__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_1p0_rot_4p0,True,1.0,4.0,20,mc_status_skip_full_k3__pos_1p0_rot_4p0__xyz1__ryp4__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
mc_status_skip_transonly_k3__pos_2p0_rot_1p0__xyz2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__pos_2p0_rot_1p0__xyz2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_transonly_k3__pos_2p0_rot_1p0__xyz2__ryp1__seed20/config.yaml,mc_status_skip_transonly_k3,point_pillar_where2comm_our,pos_2p0_rot_1p0,True,2.0,1.0,20,mc_status_skip_transonly_k3__pos_2p0_rot_1p0__xyz2__ryp1__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_2p0_rot_1p0__xyz2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_2p0_rot_1p0__xyz2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_2p0_rot_1p0__xyz2__ryp1__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_2p0_rot_1p0,True,2.0,1.0,20,mc_status_skip_full_k3__pos_2p0_rot_1p0__xyz2__ryp1__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
