Noise setting,ΔAP@0.3,ΔRG@0.3,ΔAP@0.5,ΔRG@0.5,ΔAP@0.7,ΔRG@0.7
clean,-0.9153872564721147,0.0,-0.6501820324130974,0.0,0.33088424617946,0.0
rot_only_1p0,-0.02891946357150843,0.8864677929006063,0.6693079889260896,1.319490021339187,1.6823901148661797,1.3515058686867198
rot_only_2p0,1.2607702731825876,2.1761575296547027,2.208800926032852,2.8589829584459494,2.984484565126537,2.6536003189470763
rot_only_4p0,3.404318675466459,4.319705931938574,4.3543246038836285,5.004506636296726,4.829710418690473,4.498826172511014
pos_only_0p2,-0.8426160608475378,0.0727711956245769,-0.5942569817849057,0.05592505062819164,0.38722143335281345,0.05633718717335349
pos_only_0p5,-0.5359734366773099,0.37941381979480493,-0.17484130774858925,0.47534072466450805,1.0267575177641173,0.6958732715846572
pos_only_1p0,0.5457734793511748,1.4611607358232894,1.1283996249693895,1.7785816573824869,2.5645332702584955,2.233649024079036
rot_only_6p0,4.970975020024456,5.886362276496571,5.928041997587028,6.578224030000126,6.207355983141092,5.876471736961633
rot_only_8p0,5.942751509880207,6.8581387663523214,7.003969791600012,7.65415182401311,6.898726964578413,6.567842718398953
rot_only_10p0,6.73090365499927,7.646290911471383,7.7337877367697745,8.38396976918287,7.370298694405092,7.0394144482256324
rot_only_14p0,8.18908734904127,9.104474605513385,9.079053209542877,9.729235241955974,8.357791367480948,8.026907121301488
pos_0p2_rot_1p0,0.0003994860611792698,0.9157867425332941,0.7603095838001783,1.4104916162132755,1.7259129839298597,1.3950287377503998
pos_0p2_rot_2p0,1.2078879486503804,2.123275205122495,2.1877254595032385,2.837907491916336,3.075231570933292,2.744347324753832
pos_0p2_rot_4p0,3.4247629151736145,4.340150171645729,4.418083885317023,5.06826591773012,4.959759263583154,4.628875017403694
pos_0p2_rot_6p0,5.131615476015142,6.0470027324872575,6.020799822487543,6.670981854900641,6.1071953886199,5.77631114244044
pos_0p2_rot_8p0,6.152318917560721,7.0677061740328355,7.191042654466329,7.841224686879427,6.962664987790588,6.631780741611128
pos_0p2_rot_10p0,7.041771634720568,7.957158891192684,8.026414080425498,8.676596112838595,7.384847945077411,7.0539636988979515
pos_0p2_rot_14p0,8.54349537394774,9.458882630419856,9.423997169991004,10.074179202404103,8.56414031864589,8.233256072466432
pos_0p5_rot_1p0,0.2798963525162771,1.195283608988392,1.0569445489688336,1.707126581381931,2.178498728017057,1.8476144818375968
pos_0p5_rot_2p0,1.5706382143002535,2.4860254707723684,2.5154693565551947,3.1656513889682913,3.3553414270773554,3.0244571808978953
pos_0p5_rot_4p0,3.6065216342941278,4.521908890766243,4.573319412884786,5.223501445297883,4.9868071996251375,4.655922953445677
pos_0p5_rot_6p0,5.377745167008543,6.293132423480658,6.338172775891208,6.9883548083043046,6.480737780997965,6.149853534818506
pos_0p5_rot_8p0,6.529858271619958,7.445245528092072,7.526501736704566,8.176683769117664,7.373649336538994,7.042765090359533
pos_0p5_rot_10p0,7.545614068691258,8.461001325163371,8.510934636605832,9.161116669018927,7.939692124134861,7.6088078779554
pos_0p5_rot_14p0,9.161756365466655,10.07714362193877,10.02193221737377,10.672114249786869,9.104479577356617,8.773595331177157
pos_1p0_rot_1p0,1.2901707342644584,2.205557990736573,2.392355910049097,3.042537942462194,3.5772857496490595,3.2464015034696003
pos_1p0_rot_2p0,2.6426993112005652,3.5580865676726803,3.76544655813991,4.415628590553008,4.726071124411896,4.395186878232436
pos_1p0_rot_4p0,4.866555144419047,5.781942400891162,5.907094570151338,6.5572766025644365,6.394063892478696,6.063179646299236
pos_1p0_rot_6p0,6.554125444157666,7.469512700629781,7.544213456690335,8.194395489103433,7.75965571755894,7.428771471379481
pos_1p0_rot_8p0,7.8652994281533095,8.780686684625422,8.853970563534777,9.504152595947874,8.655024103367232,8.324139857187774
pos_1p0_rot_10p0,9.037879128458194,9.95326638493031,9.930382252377584,10.580564284790682,9.380326743344776,9.049442497165316
pos_1p0_rot_14p0,10.737032862099035,11.65242011857115,11.598826375910164,12.249008408323263,10.810577572174761,10.4796933259953
pos_only_1p5,2.6805882388338254,3.59597549530594,3.5035297115759443,4.153711743989041,5.323558453461552,4.992674207282092
pos_1p5_rot_1p0,3.4768437888525017,4.392231045324616,4.820657176084756,5.470839208497854,6.1467198086796575,5.8158355625001965
pos_1p5_rot_2p0,4.816249038849455,5.731636295321571,6.042753513756413,6.69293554616951,7.101740163495076,6.7708559173156155
pos_1p5_rot_4p0,6.8502759026696545,7.765663159141768,7.942719779519837,8.592901811932935,8.345509744398322,8.014625498218864
pos_1p5_rot_6p0,8.46429303913725,9.379680295609365,9.5695999602016,10.219781992614697,9.711084556558319,9.380200310378859
pos_1p5_rot_8p0,9.885316739833696,10.80070399630581,10.867321830147253,11.51750386256035,10.755266763537925,10.424382517358467
pos_1p5_rot_10p0,10.897001341956226,11.812388598428342,11.798212477720133,12.448394510133232,11.218826211097156,10.887941964917697
pos_1p5_rot_14p0,12.665428162281641,13.580815418753755,13.561250383883882,14.21143241629698,12.931207144800252,12.600322898620792
pos_only_2p0,7.330016809967432,8.245404066439548,8.15719717444435,8.807379206857448,9.321384748246851,8.990500502067391
pos_2p0_rot_1p0,8.154897119869005,9.070284376341121,9.269763585381225,9.919945617794323,9.994560982192013,9.663676736012555
pos_2p0_rot_2p0,9.759101997237563,10.674489253709678,10.604113567813554,11.254295600226651,11.022065747573652,10.691181501394192
