method_name,alpha,bias_strength,num_runs,num_noise_settings,num_seeds,mean_AP_03,mean_AP_05,mean_AP_07,median_AP_03,median_AP_05,median_AP_07,mean_drop_03,mean_drop_05,mean_drop_07,max_drop_03,max_drop_05,max_drop_07,mean_status_ok_ratio,mean_fusion_reliability,high_noise_mean_AP_03,high_noise_mean_AP_05,high_noise_mean_AP_07,high_noise_mean_drop_03,high_noise_mean_drop_05,high_noise_mean_drop_07,weighted_mean_AP,weighted_mean_drop,ranking_score,mean_AP_03_pct,mean_AP_05_pct,mean_AP_07_pct,median_AP_03_pct,median_AP_05_pct,median_AP_07_pct,mean_drop_03_pct,mean_drop_05_pct,mean_drop_07_pct,max_drop_03_pct,max_drop_05_pct,max_drop_07_pct,high_noise_mean_AP_03_pct,high_noise_mean_AP_05_pct,high_noise_mean_AP_07_pct,high_noise_mean_drop_03_pct,high_noise_mean_drop_05_pct,high_noise_mean_drop_07_pct,weighted_mean_AP_pct,weighted_mean_drop_pct,ranking_score_pct
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,66,22,3,0.7552106757349454,0.7359308819779269,0.6501414292199686,0.7413826853092969,0.711962231603186,0.6323161872763767,0.11507991568344886,0.12219395723562093,0.11532886843318958,0.1948714739878037,0.19017693203827468,0.18338901869224977,0.7876679318031207,66,0.7327307051356313,0.7132365886195962,0.6312455148791944,0.13755988628276294,0.14488825059395177,0.13422478277396377,0.6968921143503515,0.11733860452397085,0.6382228120883661,75.52106757349453,73.5930881977927,65.01414292199686,74.13826853092968,71.1962231603186,63.231618727637674,11.507991568344886,12.219395723562092,11.532886843318959,19.48714739878037,19.01769320382747,18.338901869224976,73.27307051356313,71.32365886195961,63.12455148791945,13.755988628276295,14.488825059395177,13.422478277396376,69.68921143503515,11.733860452397085,63.82228120883661
uncertainty_fusion_attbias_a0p20_b1p0,0.2,1.0,66,22,3,0.7420141714045183,0.7194208552922644,0.6308116092108765,0.7336651815034382,0.701685792191421,0.608968661910522,0.1281524085930769,0.13543452424552685,0.12727238998604676,0.2231282234314036,0.21674846306384254,0.19618596189988402,0.7876679318031207,66,0.7160894328040921,0.6933061408091519,0.6094755814189232,0.15407714719350316,0.16154923872863938,0.14860841777800007,0.6796348954740212,0.1298970339852968,0.6146863784813729,74.20141714045184,71.94208552922645,63.08116092108765,73.36651815034382,70.1685792191421,60.896866191052204,12.81524085930769,13.543452424552685,12.727238998604676,22.31282234314036,21.674846306384254,19.618596189988402,71.6089432804092,69.33061408091518,60.94755814189232,15.407714719350315,16.15492387286394,14.860841777800008,67.96348954740212,12.98970339852968,61.468637848137284
uncertainty_fusion_attbias_a0p10_b2p0,0.1,2.0,66,22,3,0.7417308265862589,0.7191689167006222,0.6305135241505314,0.7329317614575224,0.7008323118714785,0.6088620576755905,0.12779335422202145,0.1355354445937754,0.12701491706278456,0.22307472554209196,0.21716926993931107,0.1948757153382379,0.7876679318031207,66,0.715934190253911,0.6931762794111671,0.6091547403454403,0.15358999055436937,0.16152808188323037,0.14837370086787574,0.6793536024027041,0.1297267627539292,0.6144902210257396,74.17308265862589,71.91689167006223,63.05135241505314,73.29317614575224,70.08323118714786,60.886205767559055,12.779335422202145,13.55354445937754,12.701491706278457,22.307472554209195,21.716926993931107,19.48757153382379,71.5934190253911,69.31762794111671,60.915474034544026,15.358999055436936,16.152808188323036,14.837370086787574,67.93536024027041,12.972676275392919,61.449022102573956
uncertainty_fusion_attbias_a0p05_b2p0,0.05,2.0,66,22,3,0.7305353779664068,0.706059998307905,0.6159800871701014,0.7253851241480347,0.6928854769024779,0.5871896605638429,0.13796160385060852,0.14707582568973582,0.1384882207718436,0.2494144218807537,0.243261043601664,0.20261190127617135,0.7876679318031207,66,0.7018234156301191,0.6771408628574564,0.5922377672344703,0.16667356618689622,0.1759949611401844,0.1622305407074747,0.6659151186707035,0.14095917886296427,0.5954355292392214,73.05353779664068,70.6059998307905,61.598008717010146,72.53851241480346,69.2885476902478,58.71896605638429,13.796160385060851,14.707582568973582,13.84882207718436,24.94144218807537,24.3261043601664,20.261190127617134,70.1823415630119,67.71408628574565,59.22377672344703,16.66735661868962,17.59949611401844,16.22305407074747,66.59151186707035,14.095917886296427,59.543552923922135
uncertainty_fusion_attbias_a0p10_b1p0,0.1,1.0,66,22,3,0.7307520266426981,0.7062282047280506,0.6162238614647753,0.7255455180872858,0.6935700884086355,0.5870080856687205,0.1388939621460456,0.1473181222584641,0.13948246399318515,0.2501003356352548,0.24258777813368437,0.20345662294064548,0.7876679318031207,66,0.7018687078759647,0.6771642397831478,0.5924348823075575,0.16777728091277908,0.17638208720336687,0.16327144315040287,0.6661307974793425,0.14171546110334093,0.595273066927672,73.07520266426981,70.62282047280506,61.622386146477524,72.55455180872859,69.35700884086356,58.700808566872055,13.88939621460456,14.731812225846411,13.948246399318515,25.01003356352548,24.258777813368436,20.34566229406455,70.18687078759646,67.71642397831478,59.243488230755744,16.777728091277908,17.63820872033669,16.327144315040286,66.61307974793425,14.171546110334093,59.5273066927672
uncertainty_fusion_attbias_a0p20_b0p5,0.2,0.5,66,22,3,0.7298191448818458,0.705302525120883,0.6155809602848985,0.7260121117904927,0.6948264141901713,0.5884110188547369,0.14125508508443205,0.14943034916286282,0.13967622347660172,0.2551345248338277,0.24660062947107442,0.20264216206947627,0.7876679318031207,66,0.7002616505459903,0.675648663083543,0.5915207171637533,0.17081257942028763,0.17908421120020276,0.1637364665977469,0.6653450666550833,0.14291823350404612,0.5938859499030602,72.98191448818459,70.5302525120883,61.55809602848985,72.60121117904927,69.48264141901713,58.84110188547369,14.125508508443204,14.943034916286283,13.967622347660171,25.51345248338277,24.66006294710744,20.264216206947626,70.02616505459903,67.5648663083543,59.15207171637533,17.081257942028763,17.908421120020275,16.37364665977469,66.53450666550833,14.291823350404611,59.38859499030602
uncertainty_fusion_attbias_a0p05_b1p0,0.05,1.0,66,22,3,0.7239114035359631,0.6985008278685595,0.607737874056656,0.7197711497459741,0.6876546397317933,0.5791309537266943,0.14520058936490868,0.15446222920193564,0.14506944618665402,0.26868954623372654,0.2609293550546361,0.20750184382956038,0.7876679318031207,66,0.6931552103465063,0.6675529210279137,0.5824236145201558,0.17595678255436545,0.1854101360425814,0.1703837057231542,0.6582014660960884,0.14791350972688944,0.5842447112326437,72.39114035359631,69.85008278685595,60.7737874056656,71.97711497459741,68.76546397317934,57.91309537266943,14.520058936490868,15.446222920193565,14.506944618665402,26.868954623372655,26.09293550546361,20.75018438295604,69.31552103465063,66.75529210279137,58.24236145201558,17.595678255436546,18.54101360425814,17.03837057231542,65.82014660960884,14.791350972688944,58.42447112326437
uncertainty_fusion_attbias_a0p10_b0p5,0.1,0.5,66,22,3,0.7230812116100414,0.6976308492343332,0.6071616162305055,0.7206541814313523,0.6892831619457612,0.580979091088428,0.14667545212108887,0.1552245984786824,0.1449082557161546,0.2711308785985016,0.26318855018805276,0.20959280192435226,0.7876679318031207,66,0.6917632474115882,0.6662040091695215,0.581580179412771,0.17799341631954202,0.18665143854349409,0.17048969253388913,0.657486305207561,0.14835659782589977,0.5833080062946111,72.30812116100414,69.76308492343331,60.716161623050546,72.06541814313523,68.92831619457613,58.097909108842806,14.667545212108887,15.52245984786824,14.49082557161546,27.11308785985016,26.318855018805277,20.959280192435227,69.17632474115882,66.62040091695215,58.158017941277095,17.799341631954203,18.66514385434941,17.04896925338891,65.74863052075611,14.835659782589977,58.33080062946111
uncertainty_fusion_attbias_a0p05_b0p5,0.05,0.5,66,22,3,0.7194932881344147,0.6935203610457075,0.6026356674034464,0.7181689025719824,0.6860625525541951,0.5756228579529965,0.15002287064666806,0.1593416393989478,0.1498198828678976,0.28221157329600366,0.27463778334486844,0.21856912755860025,0.7876679318031207,66,0.6871493803930585,0.6610375862818335,0.5761472654875848,0.1823667783880243,0.19182441416282173,0.17630828478375926,0.6532725996423183,0.15271700738296676,0.576914095950835,71.94932881344147,69.35203610457074,60.26356674034464,71.81689025719824,68.60625525541951,57.56228579529965,15.002287064666806,15.93416393989478,14.981988286789761,28.221157329600366,27.463778334486843,21.856912755860026,68.71493803930585,66.10375862818336,57.614726548758476,18.23667783880243,19.182441416282174,17.630828478375925,65.32725996423183,15.271700738296676,57.6914095950835
