Run name,Collab pairs,Status ok ratio,Non-ok ratio,Fused ratio,Skipped ratio,Selected for blur ratio,Blurred ratio,Mean cov trace,Median cov trace,p95 cov trace all,p95 cov trace ok-only,Mean mask IoU after warp,Median mask IoU after warp,Mean mask IoU after warp ok-only,Median mask IoU after warp ok-only,AP@0.3,AP@0.5,AP@0.7
uncertainty_fusion_attbias_a0p05_b0p5__clean__xyz0__ryp0__seed20,1006,0.9025844930417495,0.09741550695825052,N/A,N/A,N/A,N/A,8.51897044095264,1.2462151050567627,50.01000213623047,10.094717407226561,0.25866730977595165,0.27735042735042736,0.28057679571337807,0.2916666666666667,0.8695905688179051,0.8528122398873046,0.7521289514101467
uncertainty_fusion_attbias_a0p05_b0p5__clean__xyz0__ryp0__seed28,1006,0.9025844930417495,0.09741550695825052,N/A,N/A,N/A,N/A,8.583398306188442,1.2625359892845154,50.01000213623047,9.751113319396971,0.25884217117828173,0.27543626146110617,0.2807994871134381,0.2916666666666667,0.8697334264448419,0.8532012422912114,0.75176962057655
uncertainty_fusion_attbias_a0p05_b0p5__clean__xyz0__ryp0__seed42,1006,0.9025844930417495,0.09741550695825052,N/A,N/A,N/A,N/A,8.487405761540009,1.2401468753814697,50.01000213623047,9.848594951629638,0.25896826634774706,0.2777777777777778,0.2808189894816265,0.29224411420938384,0.8692244810805013,0.8525725191554498,0.7534680788273356
uncertainty_fusion_attbias_a0p05_b0p5__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,1006,0.7157057654075547,0.2842942345924453,N/A,N/A,N/A,N/A,185.75802191527595,50.01000213623047,576.2931518554688,670.8405822753905,0.008742743555554844,0.0,0.007216449013145448,0.0,0.6407771144452474,0.6300941280719692,0.5758242265217226
uncertainty_fusion_attbias_a0p05_b0p5__pos_0p2_rot_14p0__xyz0p2__ryp14__seed28,1006,0.8976143141153081,0.10238568588469188,N/A,N/A,N/A,N/A,9.460950010206188,1.5996497869491577,50.01000213623047,16.14930915832519,0.1517749690989014,0.14962686567164174,0.16468879430720854,0.1621621621621621,0.789004275416292,0.7010541559087683,0.5479628193286602
uncertainty_fusion_attbias_a0p05_b0p5__pos_0p2_rot_14p0__xyz0p2__ryp14__seed42,1006,0.889662027833002,0.11033797216699803,N/A,N/A,N/A,N/A,20.50135556922459,5.388235807418823,64.80721092224121,70.32193984985352,0.04041920562569851,0.025370092254880898,0.043393973263967114,0.0267857142857142,0.6305000169442726,0.609549335210326,0.5503224692782389
uncertainty_fusion_attbias_a0p05_b0p5__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,1006,0.8817097415506958,0.11829025844930419,N/A,N/A,N/A,N/A,35.51051463868106,8.693185806274414,110.84858322143555,120.55799331665011,0.024094505074173087,0.0175438596491228,0.02567294274096372,0.0188679245283018,0.6195077519502971,0.6069820545874193,0.5489178051236692
uncertainty_fusion_attbias_a0p05_b0p5__pos_0p2_rot_4p0__xyz0p2__ryp4__seed28,1006,0.8946322067594433,0.10536779324055667,N/A,N/A,N/A,N/A,10.041240417238196,1.1965232491493225,50.01000213623047,13.893716764450073,0.21311617132984123,0.2222222222222222,0.23257095401860647,0.2333333333333333,0.8585176280731117,0.8341788128515432,0.6941289339546263
uncertainty_fusion_attbias_a0p05_b0p5__pos_0p2_rot_4p0__xyz0p2__ryp4__seed42,1006,0.8886679920477137,0.11133200795228626,N/A,N/A,N/A,N/A,10.733438320490622,1.7852084040641785,50.01000213623047,24.859518623352,0.14281250628441045,0.1313131313131313,0.1561983973781309,0.13998593106220475,0.7780586914756188,0.7173743432804176,0.5710307328121561
uncertainty_fusion_attbias_a0p05_b0p5__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,1006,0.8369781312127237,0.16302186878727631,N/A,N/A,N/A,N/A,98.7447219007828,40.26516151428223,275.1055755615234,336.65109405517546,0.013892940081158375,0.0,0.013766260920146947,0.0,0.606758083660937,0.5966199132332259,0.5493619401093949
