method_name,alpha,bias_strength,noise_name,xyz_std,ryp_std,noise_group,num_seeds,mean_AP_03,std_AP_03,mean_AP_05,std_AP_05,mean_AP_07,std_AP_07,mean_drop_03,mean_drop_05,mean_drop_07,mean_status_ok_ratio,mean_fusion_reliability,mean_AP_03_pct,std_AP_03_pct,mean_AP_05_pct,std_AP_05_pct,mean_AP_07_pct,std_AP_07_pct,mean_drop_03_pct,mean_drop_05_pct,mean_drop_07_pct
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,clean,0.0,0.0,clean,3,0.8702905914183944,0.0001847060535455912,0.8581248392135478,0.0002633038060515082,0.7654702976531582,0.0008133656233030637,0.0,0.0,0.0,0.9025844930417496,3,87.02905914183944,0.01847060535455912,85.81248392135478,0.02633038060515082,76.54702976531583,0.08133656233030637,0.0,0.0,0.0
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_0p2_rot_14p0,0.2,14.0,high_noise,3,0.7328957784880962,0.05987416957389521,0.7004601682732571,0.02886463807676912,0.6165758480961077,0.02715744883269378,0.13739481293029812,0.15766467094029082,0.14889444955705053,0.8343273691186216,3,73.28957784880961,5.987416957389521,70.0460168273257,2.886463807676912,61.65758480961077,2.715744883269378,13.739481293029812,15.766467094029082,14.889444955705052
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_0p2_rot_4p0,0.2,4.0,medium_noise,3,0.7736469280902375,0.0887424524820026,0.7484804050515842,0.08551058064668592,0.6455321653597547,0.061715814183330345,0.09664366332815677,0.10964443416196361,0.11993813229340355,0.8883366467859509,3,77.36469280902375,8.87424524820026,74.84804050515842,8.551058064668592,64.55321653597547,6.171581418333035,9.664366332815677,10.96444341619636,11.993813229340356
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_0p2_rot_8p0,0.2,8.0,high_noise,3,0.7455472500228361,0.0866730022581231,0.7197728672098119,0.06887416960337,0.6241139322232963,0.01951055907966409,0.1247433413955582,0.1383519720037358,0.14135636542986194,0.8724320742213386,3,74.5547250022836,8.66730022581231,71.9772867209812,6.887416960337001,62.41139322232962,1.9510559079664092,12.47433413955582,13.83519720037358,14.135636542986193
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_0p5_rot_14p0,0.5,14.0,high_noise,3,0.7333299004926145,0.06206429564952644,0.704920321583039,0.02906910672432309,0.6196809544558509,0.022763769823317567,0.13696069092577992,0.1532045176305088,0.14578934319730727,0.8220675944333996,3,73.33299004926145,6.206429564952644,70.4920321583039,2.906910672432309,61.96809544558509,2.276376982331757,13.696069092577993,15.32045176305088,14.578934319730728
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_0p5_rot_4p0,0.5,4.0,medium_noise,3,0.7649804221419304,0.08071693449311416,0.741168317046907,0.07611448074313797,0.6446304587943604,0.0523506031600739,0.10531016927646379,0.11695652216664087,0.12083983885879775,0.878727634194831,3,76.49804221419303,8.071693449311416,74.1168317046907,7.611448074313796,64.46304587943604,5.23506031600739,10.531016927646379,11.695652216664087,12.083983885879775
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_0p5_rot_8p0,0.5,8.0,high_noise,3,0.7402548026291215,0.07893495261084382,0.7189033431043891,0.06418432393549522,0.6295720317498489,0.01668871506177914,0.1300357887892729,0.1392214961091588,0.13589826590330936,0.8611663353214049,3,74.02548026291214,7.893495261084382,71.8903343104389,6.418432393549523,62.95720317498489,1.668871506177914,13.003578878927291,13.922149610915879,13.589826590330937
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_1p0_rot_14p0,1.0,14.0,high_noise,3,0.722933594066301,0.052049207960873166,0.7043186256160378,0.033854897802982405,0.6271227088882826,0.00864530409820091,0.1473569973520933,0.15380621359751015,0.13834758876487566,0.7740225314777999,3,72.2933594066301,5.2049207960873165,70.43186256160378,3.3854897802982404,62.71227088882826,0.864530409820091,14.735699735209328,15.380621359751014,13.834758876487566
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_1p0_rot_4p0,1.0,4.0,medium_noise,3,0.7499036325500631,0.07325954517708104,0.7292638260928882,0.07018987670733462,0.6437016747278995,0.04799500115567136,0.12038695886833124,0.12886101312065967,0.12176862292525865,0.852882703777336,3,74.99036325500632,7.325954517708104,72.92638260928882,7.018987670733462,64.37016747278996,4.799500115567136,12.038695886833125,12.886101312065968,12.176862292525865
uncertainty_fusion_attbias_a0p20_b2p0,0.2,2.0,pos_1p0_rot_8p0,1.0,8.0,high_noise,3,0.7315192004167302,0.0662648183201409,0.7165251134546016,0.057300975801224625,0.6334241957636839,0.020681470730961497,0.13877139100166413,0.1415997257589463,0.1320461018894743,0.820079522862823,3,73.15192004167302,6.626481832014091,71.65251134546016,5.730097580122463,63.34241957636839,2.0681470730961498,13.877139100166413,14.159972575894631,13.20461018894743
