Noise setting,ΔAP@0.3,ΔRG@0.3,ΔAP@0.5,ΔRG@0.5,ΔAP@0.7,ΔRG@0.7
clean,0.41451830515304433,0.0,0.5434651272298401,0.0,0.7346268914688443,0.0
rot_only_1p0,0.42791593553579793,0.013397630382753581,0.8101422035885412,0.2666770763587012,1.0591309388356471,0.3245040473668026
rot_only_2p0,1.2454892605258783,0.8309709553728339,1.4201941246678915,0.8767289974380513,1.689984572169419,0.9553576807005748
rot_only_4p0,1.297010368092296,0.8824920629392515,1.590770342984375,1.0473052157545348,2.1089574864810405,1.3743305950121965
pos_only_0p2,0.6567135365288894,0.242195231375845,0.875827585273925,0.33236245804408504,0.9991706278171067,0.26454373634826245
pos_only_0p5,0.7161070046875866,0.30158869953454215,0.9655057864129087,0.4220406591830687,1.191102299023461,0.45647540755461663
pos_only_1p0,1.0549759316450338,0.6404576264919897,1.3779455370147056,0.8344804097848657,1.611413933663593,0.8767870421947488
pos_only_3p0,11.398256254780025,10.98373794962698,11.418867059309502,10.875401932079663,10.500674391257126,9.766047499788282
rot_only_6p0,1.8555637822868103,1.4410454771337657,2.3300427251972162,1.786577597967376,2.7079007757581763,1.973273884289332
rot_only_8p0,2.2148526623361975,1.8003343571831532,2.6028921698727685,2.059427042642929,2.7707452243300956,2.0361183328612515
rot_only_10p0,2.7861490237741275,2.371630718621083,3.039852756132451,2.4963876289026117,3.0709899013806203,2.3363630099117754
rot_only_14p0,2.980017913093591,2.5654996079405468,3.1545610299823093,2.6110959027524694,3.065043078676921,2.330416187208077
rot_only_18p0,3.149231814789418,2.7347135096363733,3.283017596411649,2.739552469181809,3.233557136095999,2.498930244627155
pos_0p2_rot_1p0,0.6164523490390945,0.20193404388605027,0.9328331483198856,0.38936802109004554,1.2579453403657368,0.5233184488968923
pos_0p2_rot_2p0,1.0230031628536493,0.6084848577006048,1.2014445513844971,0.657979424154657,1.3728380557051723,0.638211164236328
pos_0p2_rot_4p0,1.4790249288883395,1.0645066237352951,1.7626158149364375,1.2191506877065974,2.0336883302249142,1.2990614387560697
