Run name,Collab pairs,Status ok ratio,Non-ok ratio,Fused ratio,Skipped ratio,Selected for blur ratio,Blurred ratio,Mean cov trace,Median cov trace,p95 cov trace all,p95 cov trace ok-only,Mean mask IoU after warp,Median mask IoU after warp,Mean mask IoU after warp ok-only,Median mask IoU after warp ok-only,AP@0.3,AP@0.5,AP@0.7
feaco_baseline__clean__xyz0__ryp0__seed20,4831,0.9944110950113848,0.005588904988615195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.26498063244628006,0.2644628099173554,0.26646990744129456,0.2653964240563482,0.8708966497257993,0.856503059269101,0.7536154235880074
feaco_baseline__clean__xyz0__ryp0__seed28,4831,0.9944110950113848,0.005588904988615195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2649494019518761,0.2647058823529412,0.2664385014216306,0.265625,0.870979218836601,0.8564419594547966,0.7533988670620363
feaco_baseline__clean__xyz0__ryp0__seed42,4831,0.9944110950113848,0.005588904988615195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.26498205891432197,0.2647058823529412,0.26647134192653826,0.2656796328671328,0.8708459614565751,0.856456648475954,0.7536090974000669
feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20,4831,0.9946180914924446,0.005381908507555377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.010172040855815103,0.0,0.01022708207584657,0.0,0.5040417200198041,0.48573541013738036,0.4150197358484027
feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed28,4831,0.9939971020492652,0.006002897950734831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1699909503610002,0.1707317073170731,0.1710175512690529,0.1714285714285714,0.801240102894696,0.6868997479859253,0.45517702880204725
feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed42,4831,0.9935831090871455,0.006416890912854467,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05038064722576617,0.042016806722689,0.05070602223909925,0.0422535211267605,0.5177482802281137,0.47210584521955334,0.38060784870463577
feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,4831,0.9890291865038294,0.010970813496170573,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.008523411247057413,0.0,0.008617957248751439,0.0,0.4908606921083123,0.47509895346347486,0.40618813903511364
feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed28,4831,0.9933761126060857,0.006623887393914285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14120173765007601,0.1393442622950819,0.1421432787221332,0.1397849462365591,0.7307370023121679,0.5983331385072742,0.4023669200785987
feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed42,4831,0.994204098530325,0.005795901469675013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03411798499083464,0.027027027027027,0.03431688225915514,0.0271317829457364,0.5031471011873168,0.46864351402683024,0.3874795201396295
feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,4831,0.9944110950113848,0.005588904988615195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1131116797786691,0.108433734939759,0.11374740320789975,0.10896672374004315,0.6481328328803205,0.5258030235435314,0.3716595414592164
feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed28,4831,0.9946180914924446,0.005381908507555377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.21158992553263806,0.2153846153846154,0.21273484500482298,0.2158273381294964,0.861537643493192,0.8469461797528639,0.7272995578869669
feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed42,4831,0.994204098530325,0.005795901469675013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.22878499324578197,0.225563909774436,0.23011873878208886,0.2264150943396226,0.8608134719323025,0.826814955372537,0.6438933750569549
feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,4831,0.9944110950113848,0.005588904988615195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.056240455790418975,0.0476190476190476,0.056556544946609937,0.0476190476190476,0.5264615920442582,0.47623856398460235,0.37754873965465796
feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed28,4831,0.9939971020492652,0.006002897950734831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.21054604299169374,0.2142857142857142,0.21181756220176434,0.2150537634408602,0.8604053414334655,0.8414681842107213,0.703985015914362
feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed42,4831,0.9948250879735044,0.0051749120264955595,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1879743562987939,0.1818181818181818,0.18895216714096408,0.1818181818181818,0.8327402854097391,0.7389104061015107,0.4900270308911389
feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,4831,0.9933761126060857,0.006623887393914285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.023826372002710716,0.0174825174825174,0.023985247581807763,0.0175438596491228,0.5023161157651456,0.47655502189455873,0.3971579676808303
feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed28,4831,0.9929621196439661,0.007037880356033921,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.20568593491526682,0.208955223880597,0.2071437881124982,0.2096774193548387,0.8572936806913622,0.8259006779849282,0.6392386508346247
feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed42,4831,0.9946180914924446,0.005381908507555377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1274254517525471,0.1228070175438596,0.12811495471728512,0.1232876712328767,0.6959014793221324,0.5543406204711943,0.38222519146061307
feaco_baseline__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20,4831,0.9948250879735044,0.0051749120264955595,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.015303994460415466,0.0087719298245614,0.015383603253904934,0.0088495575221238,0.5065501380979172,0.48529419575529686,0.40915331014937906
feaco_baseline__pos_0p2_rot_6p0__xyz0p2__ryp6__seed28,4831,0.9939971020492652,0.006002897950734831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19616635867597518,0.2,0.19735103681041982,0.2,0.8468588757634142,0.7896354935130807,0.5612527364627394
feaco_baseline__pos_0p2_rot_6p0__xyz0p2__ryp6__seed42,4831,0.9946180914924446,0.005381908507555377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08893691310426521,0.081967213114754,0.08941815342491263,0.0824175824175824,0.575715259564375,0.4915333053745194,0.37228225900541234
feaco_baseline__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,4831,0.9944110950113848,0.005588904988615195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.012109710430750632,0.0053475935828877,0.01217777083492013,0.0054945054945054,0.5066348605321483,0.4863704997815426,0.41330545884472
feaco_baseline__pos_0p2_rot_8p0__xyz0p2__ryp8__seed28,4831,0.9927551231629063,0.007244876837093739,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.18476716139225155,0.1866666666666666,0.18611554559757446,0.1875,0.8310414737964,0.7409608408382541,0.4982453867117252
feaco_baseline__pos_0p2_rot_8p0__xyz0p2__ryp8__seed42,4831,0.9939971020492652,0.006002897950734831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06425556484325119,0.056338028169014,0.06464361386042201,0.056701030927835,0.5319968984519071,0.47927826385373107,0.3752750353977672
feaco_baseline__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20,4831,0.9958600703788035,0.00413992962119647,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.010123077569214302,0.0,0.010165160618764144,0.0,0.49521176819969875,0.47789573003201113,0.4093361212728456
feaco_baseline__pos_0p5_rot_10p0__xyz0p5__ryp10__seed28,4831,0.9939971020492652,0.006002897950734831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16552729072588837,0.1610738255033557,0.16652693492227544,0.16172067629446985,0.7869059712726317,0.6820715042824905,0.4592952820494035
feaco_baseline__pos_0p5_rot_10p0__xyz0p5__ryp10__seed42,4831,0.9950320844545643,0.0049679155454357415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0420233393210309,0.0343511450381679,0.04223315004366555,0.0344827586206896,0.5135888253935361,0.4768814605931064,0.3881534617136844
feaco_baseline__pos_0p5_rot_14p0__xyz0p5__ryp14__seed20,4831,0.9904781618712482,0.009521838128751847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.008435846689213858,0.0,0.00851694364798164,0.0,0.4811214687356425,0.4664903883850893,0.4005139451474395
feaco_baseline__pos_0p5_rot_14p0__xyz0p5__ryp14__seed28,4831,0.994204098530325,0.005795901469675013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.13593709461986583,0.1296296296296296,0.1367295657107166,0.1302325581395348,0.7229231123726348,0.6015348538507467,0.40813322663939267
feaco_baseline__pos_0p5_rot_14p0__xyz0p5__ryp14__seed42,4831,0.9946180914924446,0.005381908507555377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.028330231455509742,0.0209790209790209,0.02848352719283404,0.0211640211640211,0.4990331104192088,0.471018699669759,0.395076535258527
feaco_baseline__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20,4831,0.9931691161250259,0.006830883874974103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1060077924567354,0.1011235955056179,0.10673689982461207,0.1014492753623188,0.6429925488340549,0.5301347865632937,0.3810990341748439
feaco_baseline__pos_0p5_rot_1p0__xyz0p5__ryp1__seed28,4831,0.9939971020492652,0.006002897950734831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.22161548387998792,0.22,0.22295385310791782,0.2211032388663967,0.8410648504431922,0.8251485262601823,0.7095889569427295
feaco_baseline__pos_0p5_rot_1p0__xyz0p5__ryp1__seed42,4831,0.9944110950113848,0.005588904988615195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1798671690692924,0.1774193548387097,0.1808780794699733,0.1780821917808219,0.828716751835744,0.7945773469726013,0.6052053486172679
